filename,algorithm,generation,population,stepSize,time,memory
otcametapixel.rle,hashlife,0,0,1,0,7491104
otcametapixel.rle,hashlife,1,55007,1,325.2250000000058,365615744
otcametapixel.rle,hashlife,2,64707,1,252.07000000000698,384377744
otcametapixel.rle,hashlife,3,55050,1,152.46500000000378,406551640
otcametapixel.rle,hashlife,4,64645,1,145.95999999999913,427318576
otcametapixel.rle,hashlife,5,55089,1,141.7699999999968,431670856
otcametapixel.rle,hashlife,6,64502,1,140.6750000000029,449863872
otcametapixel.rle,hashlife,7,55205,1,136.96500000000378,466837824
otcametapixel.rle,hashlife,8,64584,1,133.58000000000175,483120032
otcametapixel.rle,hashlife,9,55318,1,125.72000000000116,497310976
otcametapixel.rle,hashlife,10,64983,1,124.63999999999942,510899408
otcametapixel.rle,hashlife,11,55181,1,123.5199999999968,524516864
otcametapixel.rle,hashlife,12,64091,1,124.55500000000029,537914152
otcametapixel.rle,hashlife,13,54812,1,118.80000000000291,549375632
otcametapixel.rle,hashlife,14,64071,1,121.8599999999933,560486544
otcametapixel.rle,hashlife,15,54837,1,883.1499999999942,369942760
otcametapixel.rle,hashlife,16,64068,1,113.69000000000233,380033272
otcametapixel.rle,hashlife,17,54871,1,112.45500000000175,390481552
otcametapixel.rle,hashlife,18,64013,1,320.22499999999854,414860008
otcametapixel.rle,hashlife,19,54748,1,239.18999999999505,443385168
otcametapixel.rle,hashlife,20,63964,1,151.1649999999936,452720456
otcametapixel.rle,hashlife,21,54916,1,145.70000000000437,476140064
otcametapixel.rle,hashlife,22,64036,1,135.93000000000757,496711976
otcametapixel.rle,hashlife,23,54837,1,135.6949999999997,502622232
otcametapixel.rle,hashlife,24,63873,1,132.2300000000032,521552736
otcametapixel.rle,hashlife,25,54813,1,127.47500000000582,539530416
otcametapixel.rle,hashlife,26,63906,1,125.1050000000032,541443944
otcametapixel.rle,hashlife,27,54572,1,123.09499999999389,556737016
otcametapixel.rle,hashlife,28,63931,1,158.3900000000067,596284720
otcametapixel.rle,hashlife,29,54575,1,121.02000000000407,610355376
otcametapixel.rle,hashlife,30,64057,1,117.06499999999505,623452936
otcametapixel.rle,hashlife,31,54597,1,116.30000000000291,636294992
otcametapixel.rle,hashlife,32,64214,1,111.97500000000582,663537296
otcametapixel.rle,hashlife,33,54777,1,111.24499999999534,676375424
otcametapixel.rle,hashlife,34,64160,1,111.97000000000116,688549912
otcametapixel.rle,hashlife,35,54779,1,310.65499999999884,712285600
otcametapixel.rle,hashlife,36,64045,1,234.11000000000058,739424304
otcametapixel.rle,hashlife,37,54789,1,147.51499999999214,748314240
otcametapixel.rle,hashlife,38,64007,1,145.90000000000146,771131608
otcametapixel.rle,hashlife,39,54748,1,137.97000000000116,776402136
otcametapixel.rle,hashlife,40,64176,1,136.07500000000437,796149632
otcametapixel.rle,hashlife,41,54779,1,130.37999999999738,814660472
otcametapixel.rle,hashlife,42,64260,1,128.9449999999997,832989296
otcametapixel.rle,hashlife,43,54797,1,126.53000000000611,834275264
otcametapixel.rle,hashlife,44,64506,1,126.33499999999913,850479144
otcametapixel.rle,hashlife,45,55065,1,159.6949999999997,891443552
otcametapixel.rle,hashlife,46,64603,1,126.37999999999738,907596944
otcametapixel.rle,hashlife,47,54942,1,117.8949999999968,922056176
otcametapixel.rle,hashlife,48,64639,1,118,936462888
otcametapixel.rle,hashlife,49,55000,1,115.64500000000407,949834736
otcametapixel.rle,hashlife,50,64617,1,116.81000000000495,963169264
otcametapixel.rle,hashlife,51,55136,1,114.41000000000349,976151256
otcametapixel.rle,hashlife,52,64538,1,324.22000000000116,1001956992
otcametapixel.rle,hashlife,53,55277,1,243.27000000000407,1031425976
otcametapixel.rle,hashlife,54,64692,1,153.2899999999936,1042333704
otcametapixel.rle,hashlife,55,55353,1,149.13999999999942,1066645560
otcametapixel.rle,hashlife,56,65018,1,143.12999999999738,1074173920
otcametapixel.rle,hashlife,57,55346,1,141.81999999999243,1096081472
otcametapixel.rle,hashlife,58,64222,1,142.44000000000233,1103268144
otcametapixel.rle,hashlife,59,54971,1,142.34500000000116,1123679360
otcametapixel.rle,hashlife,60,64283,1,131.6800000000003,1141997560
otcametapixel.rle,hashlife,61,55090,1,133.8949999999968,1145435528
otcametapixel.rle,hashlife,62,64345,1,169.8949999999968,1188518272
otcametapixel.rle,hashlife,63,55074,1,132.4300000000003,1205431696
otcametapixel.rle,hashlife,64,64231,1,351.4800000000032,163949400
otcametapixel.rle,hashlife,65,54961,1,120.77999999999884,179808344
otcametapixel.rle,hashlife,66,64075,1,136.7899999999936,194652104
otcametapixel.rle,hashlife,67,55055,1,122.95999999999913,209271784
otcametapixel.rle,hashlife,68,64128,1,122.5,223599728
otcametapixel.rle,hashlife,69,54980,1,321.304999999993,250225936
otcametapixel.rle,hashlife,70,64000,1,241.22000000000844,280078648
otcametapixel.rle,hashlife,71,54945,1,156.61000000000058,291807792
otcametapixel.rle,hashlife,72,63999,1,145.44000000000233,301704048
otcametapixel.rle,hashlife,73,54678,1,139.32500000000437,323872464
otcametapixel.rle,hashlife,74,63943,1,132.45500000000175,344380896
otcametapixel.rle,hashlife,75,54626,1,133.06500000000233,349718128
otcametapixel.rle,hashlife,76,64062,1,131.2300000000032,368623416
otcametapixel.rle,hashlife,77,54645,1,125.61500000000524,384891448
otcametapixel.rle,hashlife,78,64186,1,119.07499999999709,401929496
otcametapixel.rle,hashlife,79,54840,1,159.77000000000407,428774368
otcametapixel.rle,hashlife,80,64147,1,121.43999999999505,444331200
otcametapixel.rle,hashlife,81,54756,1,119.51499999999942,458933352
otcametapixel.rle,hashlife,82,64073,1,116.81499999999505,472641640
otcametapixel.rle,hashlife,83,54887,1,118.01499999999942,486128784
otcametapixel.rle,hashlife,84,64093,1,118.22000000000116,499826016
otcametapixel.rle,hashlife,85,54822,1,116.96500000000378,512735680
otcametapixel.rle,hashlife,86,64217,1,318.0049999999974,538903464
otcametapixel.rle,hashlife,87,54854,1,245.1999999999971,568054856
otcametapixel.rle,hashlife,88,64230,1,152.06500000000233,592683232
otcametapixel.rle,hashlife,89,54782,1,146.59500000000116,602001080
otcametapixel.rle,hashlife,90,64498,1,137.15999999999622,623156016
otcametapixel.rle,hashlife,91,55033,1,257.8799999999974,107020928
otcametapixel.rle,hashlife,92,64584,1,134.25500000000466,127175008
