filename,algorithm,,population,stepSize,time,memory,generation
gosperglidergun.rle,hashlife,,73,2,3.26,10508696,204
gosperglidergun.rle,hashlife,,77,2,3.285,11270960,206
gosperglidergun.rle,hashlife,,80,2,2.48,11768032,208
gosperglidergun.rle,hashlife,,71,2,2.505,12274256,210
gosperglidergun.rle,hashlife,,78,2,2.560000001,12801016,212
gosperglidergun.rle,hashlife,,86,2,2.62,13352800,214
gosperglidergun.rle,hashlife,,86,2,2.68,9584296,216
gosperglidergun.rle,hashlife,,96,2,2.855,10182368,218
gosperglidergun.rle,hashlife,,83,2,2.81,10801000,220
gosperglidergun.rle,hashlife,,89,2,4.4,11915464,222
gosperglidergun.rle,hashlife,,91,2,2.97,12624720,224
gosperglidergun.rle,hashlife,,79,2,2.78,13194248,226
gosperglidergun.rle,hashlife,,88,2,2.71,13736616,228
gosperglidergun.rle,hashlife,,89,2,2.925,14361544,230
gosperglidergun.rle,hashlife,,84,2,2.965,15001256,232
gosperglidergun.rle,hashlife,,78,2,6.71,8345632,234
gosperglidergun.rle,hashlife,,82,2,4.595,9025432,236
gosperglidergun.rle,hashlife,,85,2,3.375,9751664,238
gosperglidergun.rle,hashlife,,76,2,2.965,10388904,240
gosperglidergun.rle,hashlife,,83,2,3.25,11415560,242
gosperglidergun.rle,hashlife,,91,2,3.005,12072600,244
gosperglidergun.rle,hashlife,,91,2,3.13,12774384,246
gosperglidergun.rle,hashlife,,101,2,3.225,13493984,248
gosperglidergun.rle,hashlife,,88,2,3.26,14246944,250
gosperglidergun.rle,hashlife,,94,2,2.565,14767160,252
gosperglidergun.rle,hashlife,,96,2,2.605,15295832,254
gosperglidergun.rle,hashlife,,84,2,5.905,9118648,256
gosperglidergun.rle,hashlife,,93,2,2.93,9694096,258
gosperglidergun.rle,hashlife,,94,2,4.94,10348088,260
gosperglidergun.rle,hashlife,,89,2,4.4,10985680,262
gosperglidergun.rle,hashlife,,83,2,3.84,11764856,264
gosperglidergun.rle,hashlife,,87,2,5.6,13026840,266
gosperglidergun.rle,hashlife,,90,2,3.59,13742696,268
gosperglidergun.rle,hashlife,,81,2,2.865,14328560,270
gosperglidergun.rle,hashlife,,88,2,2.84,14904016,272
gosperglidergun.rle,hashlife,,96,2,2.96,15491976,274
gosperglidergun.rle,hashlife,,96,2,3.01,16096392,276
gosperglidergun.rle,hashlife,,106,2,3.125,16736584,278
gosperglidergun.rle,hashlife,,93,2,3.395,17429960,280
gosperglidergun.rle,hashlife,,99,2,3.28,18136128,282
gosperglidergun.rle,hashlife,,101,2,3.68,19463512,284
gosperglidergun.rle,hashlife,,89,2,3.27,11521168,286
gosperglidergun.rle,hashlife,,98,2,3.195,12238216,288
gosperglidergun.rle,hashlife,,99,2,3.395,13016328,290
gosperglidergun.rle,hashlife,,94,2,3.43,13822712,292
