filename,algorithm,generation,population,stepSize,time,memory
primequadrupletcalculator.rle,hashlife,84,4643,1,41.88999999999214,107150576
primequadrupletcalculator.rle,hashlife,85,4609,1,41.93999999999505,106524792
primequadrupletcalculator.rle,hashlife,86,4655,1,41.2699999999968,105897152
primequadrupletcalculator.rle,hashlife,87,4678,1,40.830000000001746,105134440
primequadrupletcalculator.rle,hashlife,88,4666,1,40.99500000000262,104641344
primequadrupletcalculator.rle,hashlife,89,4732,1,36.61500000000524,118040912
primequadrupletcalculator.rle,hashlife,90,4678,1,40.53000000000611,117129816
primequadrupletcalculator.rle,hashlife,91,4754,1,40.554999999993015,116286608
primequadrupletcalculator.rle,hashlife,92,4679,1,39.43999999999505,114837464
primequadrupletcalculator.rle,hashlife,93,4826,1,39.35000000000582,113730696
primequadrupletcalculator.rle,hashlife,94,4820,1,34.529999999998836,126337744
primequadrupletcalculator.rle,hashlife,95,4843,1,72.81999999999971,123566928
primequadrupletcalculator.rle,hashlife,96,4852,1,55.9600000000064,129971376
primequadrupletcalculator.rle,hashlife,97,4799,1,51.1449999999968,133325752
primequadrupletcalculator.rle,hashlife,98,4859,1,48.91500000000087,135964072
primequadrupletcalculator.rle,hashlife,99,4861,1,48.08499999999913,138161192
primequadrupletcalculator.rle,hashlife,100,4885,1,46.70999999999913,139881584
primequadrupletcalculator.rle,hashlife,101,4825,1,53.41999999999098,147552200
primequadrupletcalculator.rle,hashlife,102,4900,1,46.11499999999796,148669848
primequadrupletcalculator.rle,hashlife,103,4801,1,43.72500000000582,149134136
primequadrupletcalculator.rle,hashlife,104,4855,1,42.9800000000032,149348536
primequadrupletcalculator.rle,hashlife,105,4832,1,38.63000000000466,163553304
primequadrupletcalculator.rle,hashlife,106,4920,1,38.395000000004075,163608880
primequadrupletcalculator.rle,hashlife,107,4856,1,42.69000000000233,163528880
primequadrupletcalculator.rle,hashlife,108,4870,1,42.99500000000262,163451192
primequadrupletcalculator.rle,hashlife,109,4905,1,46.61499999999069,163545584
primequadrupletcalculator.rle,hashlife,110,4850,1,43.06000000000495,163442712
primequadrupletcalculator.rle,hashlife,111,4946,1,41.354999999995925,162678856
primequadrupletcalculator.rle,hashlife,112,4857,1,36.775000000001455,175853288
primequadrupletcalculator.rle,hashlife,113,4956,1,41.424999999995634,174785488
primequadrupletcalculator.rle,hashlife,114,4932,1,75.70999999999913,172518024
primequadrupletcalculator.rle,hashlife,115,4928,1,58.36000000000058,179399808
primequadrupletcalculator.rle,hashlife,116,4880,1,53.58499999999913,183319392
primequadrupletcalculator.rle,hashlife,117,4890,1,50.84499999999389,186111176
primequadrupletcalculator.rle,hashlife,118,4887,1,49.73500000000058,188411128
primequadrupletcalculator.rle,hashlife,119,4822,1,49.28499999999622,190452080
primequadrupletcalculator.rle,hashlife,120,4848,1,55.02999999999156,198273280
primequadrupletcalculator.rle,hashlife,121,4790,1,47.66999999999098,199549400
primequadrupletcalculator.rle,hashlife,122,4855,1,44.43000000000029,199863408
primequadrupletcalculator.rle,hashlife,123,4816,1,44.36000000000786,200172728
primequadrupletcalculator.rle,hashlife,124,4878,1,39.05500000000029,214315832
primequadrupletcalculator.rle,hashlife,125,4818,1,39.224999999998545,214599776
primequadrupletcalculator.rle,hashlife,126,4800,1,43,214402168
primequadrupletcalculator.rle,hashlife,127,4750,1,42.79000000000815,214120400
primequadrupletcalculator.rle,hashlife,128,4754,1,43.28499999999622,213877720
primequadrupletcalculator.rle,hashlife,129,4863,1,42.1649999999936,213441456
primequadrupletcalculator.rle,hashlife,130,4871,1,44.34000000000378,212669784
primequadrupletcalculator.rle,hashlife,131,4917,1,37.654999999998836,225847768
primequadrupletcalculator.rle,hashlife,132,4886,1,42.529999999998836,224703168
primequadrupletcalculator.rle,hashlife,133,4978,1,77.65000000000146,223053616
primequadrupletcalculator.rle,hashlife,134,4938,1,59.515000000006694,229942744
primequadrupletcalculator.rle,hashlife,135,4984,1,54.7899999999936,233867384
primequadrupletcalculator.rle,hashlife,136,4895,1,55.354999999995925,237061936
primequadrupletcalculator.rle,hashlife,137,4891,1,55.325000000004366,239669960
primequadrupletcalculator.rle,hashlife,138,4877,1,52.79000000000087,241931664
primequadrupletcalculator.rle,hashlife,139,4839,1,58.90999999999622,250029008
primequadrupletcalculator.rle,hashlife,140,4848,1,50.395000000004075,251498112
primequadrupletcalculator.rle,hashlife,141,4807,1,114.44499999999971,55148440
primequadrupletcalculator.rle,hashlife,142,4908,1,40.2899999999936,69663480
primequadrupletcalculator.rle,hashlife,143,4838,1,40.88000000000466,69390264
primequadrupletcalculator.rle,hashlife,144,4900,1,61.38999999999214,73843784
primequadrupletcalculator.rle,hashlife,145,4832,1,45.70499999999447,74232592
primequadrupletcalculator.rle,hashlife,146,4881,1,46.425000000010186,74436976
primequadrupletcalculator.rle,hashlife,147,4865,1,46.294999999998254,74623136
primequadrupletcalculator.rle,hashlife,148,4874,1,45.78500000000349,74635480
primequadrupletcalculator.rle,hashlife,149,4926,1,43.84499999999389,74071688
primequadrupletcalculator.rle,hashlife,150,4878,1,38.03500000000349,87514432
primequadrupletcalculator.rle,hashlife,151,4964,1,45.70499999999447,86527216
primequadrupletcalculator.rle,hashlife,152,4843,1,79.50000000000728,84571568
primequadrupletcalculator.rle,hashlife,153,4990,1,60.104999999995925,91620184
primequadrupletcalculator.rle,hashlife,154,4991,1,54.815000000009604,95722280
primequadrupletcalculator.rle,hashlife,155,5018,1,56.10000000000582,98914000
primequadrupletcalculator.rle,hashlife,156,4991,1,51.349999999998545,101789800
primequadrupletcalculator.rle,hashlife,157,4978,1,49.65500000000611,104152168
primequadrupletcalculator.rle,hashlife,158,5030,1,56.30500000000029,112589064
primequadrupletcalculator.rle,hashlife,159,5008,1,49.395000000004075,114414648
primequadrupletcalculator.rle,hashlife,160,5008,1,47.14999999999418,115398328
primequadrupletcalculator.rle,hashlife,161,4939,1,45.74000000000524,116369832
primequadrupletcalculator.rle,hashlife,162,5034,1,45.529999999998836,117249448
primequadrupletcalculator.rle,hashlife,163,4976,1,45.32999999999447,118059408
primequadrupletcalculator.rle,hashlife,164,5036,1,44.93999999999505,118731104
primequadrupletcalculator.rle,hashlife,165,5013,1,40.154999999998836,133338400
primequadrupletcalculator.rle,hashlife,166,5086,1,40.875,133842552
primequadrupletcalculator.rle,hashlife,167,5029,1,46.23500000000058,134121288
primequadrupletcalculator.rle,hashlife,168,5068,1,45.320000000006985,134035016
primequadrupletcalculator.rle,hashlife,169,5102,1,45.28500000000349,133967280
primequadrupletcalculator.rle,hashlife,170,5039,1,44.83499999999913,133752856
primequadrupletcalculator.rle,hashlife,171,5110,1,75.47000000000116,146255448
primequadrupletcalculator.rle,hashlife,172,5056,1,66.16000000000349,140387128
